"ROW_ID","ID","STATE_NAME","CNTY_NAME","NC_REGION","ACSTOTPOP","PEOPCOLORPCT","LOWINCPCT","UNEMPPCT","LINGISOPCT","LESSHSPCT","UNDER5PCT","OVER64PCT","LIFEEXPPCT","PM25","OZONE","DSLPM","CANCER","RESP","RSEI_AIR","PTRAF","PRE1960PCT","PNPL","PRMP","PTSDF","UST","AREALAND","AREAWATER"
1,"370010201001","North Carolina","Alamance County","Piedmont",1385,15.66787,40.5776173,6.3100137,6.2695925,10.8499096,6.2093863,21.2274368,22.974359,7.878633397,60.61577,0.239991532,30,0.4,376.1337247,133.2905268,65.204236,0.017380608,0.158808293,0.276561704,21.03086128,983262,0
2,"370010201002","North Carolina","Alamance County","Piedmont",1347,14.4023757,42.0935412,0,0,5.0551471,0.5939124,20.3414996,22.974359,7.878633397,60.61577,0.239991532,30,0.4,420.8700066,135.3059357,67.5637394,0.017185427,0.153039664,0.303205483,13.00175572,1196525,0
3,"370010201003","North Carolina","Alamance County","Piedmont",973,86.5364851,77.4922919,32.4483776,6.7278287,49.1967872,21.1716341,4.3165468,22.974359,7.878633397,60.61577,0.239991532,30,0.4,418.0595025,93.58275105,52.6582279,0.017162274,0.164942424,0.321296597,19.27666993,1352647,0
4,"370010201004","North Carolina","Alamance County","Piedmont",519,26.2042389,43.5452794,0,0,2.5839793,6.9364162,6.9364162,22.974359,7.878633397,60.61577,0.239991532,30,0.4,328.1856224,361.9807256,74.2382272,0.017478006,0.186686123,0.213721416,37.16224985,979255,0
5,"370010202001","North Carolina","Alamance County","Piedmont",750,65.7333333,83.8134431,25,10.4,36.3461539,2.4,11.3333333,28.2051282,7.876110822,60.58103,0.244430098,30,0.4,194.2376864,67.03578699,63.8059702,0.017958263,0.318622869,0.144504276,22.7936619,1027817,0
6,"370010202002","North Carolina","Alamance County","Piedmont",519,56.2620424,13.1021195,2.0134228,0,8.0118694,4.6242775,11.7533719,28.2051282,7.876110822,60.58103,0.244430098,30,0.4,208.2393246,181.2719128,64.2201835,0.017838077,0.226154679,0.180650321,32.11481175,418130,0
7,"370010202003","North Carolina","Alamance County","Piedmont",1024,89.3554688,84.2773438,3.1128405,3.6931818,47.1014493,0,4.8828125,28.2051282,7.876110822,60.58103,0.244430098,30,0.4,230.1797487,85.34837971,71.8137255,0.017704278,0.244517884,0.165779878,29.89396836,955712,0
8,"370010202004","North Carolina","Alamance County","Piedmont",1915,68.0417755,66.5968586,3.6519871,10.3641457,27.5036285,2.8720627,17.8067885,28.2051282,7.876110822,60.58103,0.244430098,30,0.4,205.6691035,105.3711776,80.2366864,0.017862842,0.260401212,0.165784601,37.58246537,1063047,0
9,"370010203011","North Carolina","Alamance County","Piedmont",1281,90.4761905,53.0054645,0,16.8449198,22.0987654,7.1818891,14.4418423,27.0769231,7.870331397,60.46087,0.200093417,30,0.4,204.5851088,8.247011972,39.3794749,0.01857001,0.321652336,0.135401131,3.611129111,2346057,62025
10,"370010203012","North Carolina","Alamance County","Piedmont",999,66.5665666,71.0762332,6.9264069,15.0724638,22.7488152,13.1131131,34.7347347,27.0769231,7.870331397,60.46087,0.200093417,30,0.4,201.2919307,70.94292558,41.6107383,0.018207333,0.299400599,0.149438816,22.06369078,1363053,0
11,"370010203013","North Carolina","Alamance County","Piedmont",1628,44.7788698,52.0080321,19.3771626,1.3422819,11.9456366,0,23.6486487,27.0769231,7.870331397,60.46087,0.200093417,30,0.4,191.5083343,52.99838462,23.0925738,0.018506611,0.457333718,0.126246657,11.88762214,1254731,0
12,"370010203021","North Carolina","Alamance County","Piedmont",1384,77.1676301,40.9551375,0,0,40.5215647,0.7947977,26.8786127,27.0769231,7.870331397,60.46087,0.200093417,30,0.4,185.1367071,32.80981184,43.902439,0.018663163,0.868955801,0.112931222,1.950056039,1630240,29840
